List ,Headword ,Related forms,Total frequency
8k,conjecture,"conjecture (206), conjectural (33), conjectured (40), conjectures (72), conjecturing (5), conjecturings (0)",356
8k,consecrate,"consecrate (22), consecrated (196), consecrates (1), consecrating (9), consecration (107), consecrations (3)",338
8k,consequential,"consequential (207), consequentially (8), inconsequential (94), inconsequentially (20)",329
8k,consonant,"consonant (287), consonantal (15), consonants (188)",490
8k,constrict,"constrict (23), constricted (89), constricting (48), constriction (66), constrictions (23), constrictive (5), constricts (5), constrictor (13), constrictors (7)",279
8k,consummate,"consummate (121), consummated (48), consummately (11), consummates (1), consummating (4), consummation (70)",255
8k,corollary,"corollary (278), corollaries (18)",296
8k,coronation,"coronation (824), coronations (37)",861
8k,corroborate,"corroborate (34), corroborated (52), corroborates (7), corroborating (16), corroboration (50), corroborations (1), corroborative (28), corroboratory (0)",188
8k,cortex,"cortex (371), cortexes (1)",372
8k,countenance,"countenance (308), countenanced (35), countenances (11), countenancing (4)",358
8k,counteract,"counteract (268), counteracted (41), counteracting (37), counteracts (12)",358
8k,counterfeit,"counterfeit (136), counterfeited (2), counterfeiter (8), counterfeiters (11), counterfeiting (28), counterfeits (9)",194
8k,countess,"countess (500), countesses (3)",503
8k,courier,"courier (361), couriers (44)",405
8k,courteous,"courteous (259), courteously (113), courteousness (2), discourteous (29), discourteously (2)",405
8k,courtship,"courtship (268), courtships (7)",275
8k,coworker,"coworker (3), coworkers (29)",32
8k,cremate,"cremate (2), cremated (78), cremates (0), cremating (5), cremation (140), cremations (16), crematorium (137), crematoriums (3), crematoria (16), crematory (1)",398
8k,criminology,"criminology (249), criminological (34), criminologies (4), criminologist (13), criminologists (53)",353
8k,cringe,"cringe (76), cringed (53), cringes (6), cringing (66)",201
8k,croak,"croak (95), croaked (132), croaking (55), croaks (17)",299
8k,crutch,"crutch (111), crutches (121)",232
8k,cubicle,"cubicle (171), cubicles (68)",239
8k,cubism,"cubism (175), cubisms (0), cubist (168), cubists (63)",406
8k,cuckoo,"cuckoo (436), cuckoos (85)",521
8k,cull,"cull (89), culled (117), culling (81), culls (7)",294
8k,cumbersome,"cumbersome (293), cumbersomeness (2)",295
8k,curfew,"curfew (248), curfews (38)",286
8k,custard,"custard (274), custards (12)",286
8k,daisy,"daisy (651), daisies (156)",807
8k,darn,"darn (76), darned (59), darning (36), darns (1)",172
8k,deadlock,"deadlock (271), deadlocked (67), deadlocking (6), deadlocks (10)",354
8k,debilitate,"debilitate (2), debilitated (29), debilitates (0), debilitating (167), debilitation (6), debilitative (2)",206
8k,debit,"debit (272), debited (53), debiting (15), debits (67), debitted (0), debitting (0)",407
8k,decadence,"decadence (102), decadences (0), decadent (97)",199
8k,deceit,"deceit (209), deceitful (77), deceitfully (4), deceitfulness (8), deceits (20)",318
8k,defame,"defame (10), defamation (146), defamations (6), defamatory (110), defamed (17), defames (4), defaming (5)",298
8k,deforest,"deforest (1), deforestation (187), deforestations (0), deforested (19), deforesting (0), deforests (0)",207
8k,defuse,"defuse (153), defused (78), defuses (4), defusing (38)",273
8k,dehydrate,"dehydrate (11), dehydrated (83), dehydrates (4), dehydrating (10), dehydration (121)",229
8k,delve,"delve (93), delved (49), delves (31), delving (66)",239
8k,demoralise,"demoralise (16), demoralisation (31), demoralisations (0), demoralised (92), demoralises (0), demoralising (70), demoralization (32), demoralizations (0), demoralize (7), demoralized (52), demoralizes (2), demoralizing (35)",337
8k,depose,"depose (47), deposed (219), deposes (3), deposing (11)",280
8k,derby,"derby (1587), derbies (25)",1612
8k,derelict,"derelict (560), derelicts (14)",574
8k,determinate,"determinate (118), indeterminate (204)",322
8k,detest,"detest (105), detestable (33), detestably (0), detestation (23), detested (141), detesting (2), detests (11)",315
8k,detour,"detour (201), detoured (3), detouring (2), detours (43)",249
8k,devout,"devout (206), devouter (0), devoutest (0), devoutly (31), devoutness (3)",240
8k,dew,"dew (299), dewier (0), dewiest (0), dewiness (0), dews (13), dewy (42)",354
8k,dichotomy,"dichotomy (246), dichotomies (27)",273
8k,din,"din (332), dins (16)",348
8k,disaffect,"disaffect (0), disaffected (140), disaffecting (0), disaffection (131), disaffections (1), disaffects (0)",272
8k,disarray,"disarray (227), disarrays (0)",227
8k,disband,"disband (93), disbanded (235), disbanding (62), disbandings (0), disbandment (24), disbandments (1), disbands (6)",421
8k,discernible,"discernible (286), discernibly (8), indiscernible (3)",297
8k,discord,"discord (137), discordant (123), discords (13)",273
8k,discursive,"discursive (287), discursively (11), discursiveness (5)",303
8k,disengage,"disengage (50), disengaged (43), disengagement (62), disengagements (0), disengages (3), disengaging (22)",180
8k,disgruntled,disgruntled (217),217
8k,disinterested,"disinterested (172), disinterest (53), disinterestedly (8), disinterestedness (8)",241
8k,dislodge,"dislodge (122), dislodged (111), dislodges (5), dislodging (35), dislodgment (0)",273
8k,disobedient,"disobedient (72), disobedience (221)",293
8k,disrespect,"disrespect (117), disrespected (2), disrespectful (50), disrespectfully (6), disrespecting (0), disrespects (0)",175
8k,dissociate,"dissociate (85), dissociated (91), dissociates (14), dissociating (26), dissociation (204), dissociations (14)",434
8k,distraught,"distraught (252), distraughtly (0)",252
8k,divisive,"divisive (197), divisively (1), divisiveness (13)",211
8k,doctorate,"doctorate (141), doctorates (21)",162
8k,dogma,"dogma (255), dogmas (65)",320
8k,dogmatic,"dogmatic (223), dogmatically (22), dogmatism (62), dogmatisms (0)",307
8k,domesticate,"domesticate (7), domesticated (178), domesticating (7), domestication (42)",234
8k,domino,"domino (161), dominoes (80)",241
8k,dormant,"dormant (283), dormancy (20)",303
8k,doughnut,"doughnut (77), donut (3), donuts (9), doughnuts (53)",142
8k,drab,"drab (298), drably (9), drabness (21), drabs (15)",343
8k,dreary,"dreary (264), drearier (3), dreariest (8), drearily (24), dreariness (22)",321
8k,drench,"drench (14), drenched (237), drenches (1), drenching (51)",303
8k,dude,"dude (68), dudes (31)",99
8k,duel,"duel (213), duelist (0), duelists (0), duelled (3), duelling (39), duels (35)",290
8k,duet,"duet (178), duets (43)",221
8k,easel,"easel (175), easels (51)",226
8k,eclectic,"eclectic (159), eclectically (5), eclecticism (54)",218
8k,edgy,"edgy (118), edgier (3), edgiest (0), edgily (27), edginess (18)",166
8k,edible,"edible (205), edibleness (0), inedible (50)",255
8k,eel,"eel (219), eels (175)",394
8k,effluent,"effluent (299), effluents (74)",373
8k,elapse,"elapse (64), elapsed (313), elapses (20), elapsing (5)",402
8k,elate,"elate (5), elated (144), elatedly (1), elates (0), elating (2), elation (152), elations (1)",305
8k,elective,"elective (272), electives (16)",288
8k,electrify,"electrify (17), electrification (164), electrifications (0), electrified (96), electrifies (2), electrifying (75)",354
8k,elliptical,"elliptical (117), ellipse (84), ellipses (53), ellipsis (40), elliptically (8)",302
8k,elucidate,"elucidate (142), elucidated (50), elucidates (8), elucidating (35), elucidation (73), elucidations (1)",309
8k,embankment,"embankment (349), embankments (81)",430
8k,embryonic,embryonic (265),265
8k,empress,"empress (386), empresses (2)",388
8k,encapsulate,"encapsulate (67), encapsulated (184), encapsulates (61), encapsulating (31), encapsulation (25), encapsulations (1)",369
8k,encase,"encase (13), encased (167), encasement (1), encasements (0), encases (6), encasing (24)",211
8k,endemic,"endemic (302), endemically (4)",306
8k,enigmatic,"enigmatic (266), enigmatically (45)",311
8k,entirety,entirety (233),233
8k,entourage,"entourage (208), entourages (6)",214
8k,enumerate,"enumerate (37), enumerated (65), enumerates (9), enumerating (15), enumeration (113), enumerations (3), enumerator (7), enumerators (17)",266
8k,envisage,"envisage (417), envisaged (1208), envisages (163), envisaging (56), unenvisaged (0)",1844
8k,epithelial,"epithelial (439), epithelia (39), epithelium (305), epitheliums (0)",783
8k,epitomise,"epitomise (31), epitomised (82), epitomises (39), epitomising (4), epitomize (19), epitomized (64), epitomizes (26), epitomizing (4)",269
8k,epoch,"epoch (194), epochal (10), epochs (57)",261
8k,eschew,"eschew (72), eschewed (79), eschewing (47), eschews (37)",235
8k,espionage,"espionage (249), counterespionage (3)",252
8k,esquire,"esquire (211), esq (94), esquires (30)",335
8k,etiquette,"etiquette (195), etiquettes (2)",197
8k,eucharist,"eucharist (168), eucharistic (66), eucharists (3)",237
8k,euphoria,euphoria (244),244
8k,evangelist,"evangelist (119), evangelistic (67), evangelists (94)",280
8k,evasion,"evasion (260), evasions (39)",299
8k,exalt,"exalt (24), exaltation (56), exaltations (1), exalted (202), exalting (16), exalts (7)",306
8k,excrete,"excrete (29), excreted (84), excretes (2), excreting (19), excretion (280), excretions (16), excretive (0), excretory (11)",441
8k,exhale,"exhale (25), exhalation (24), exhalations (11), exhaled (86), exhales (5), exhaling (16)",167
8k,expatriate,"expatriate (197), expatriates (181)",378
8k,extort,"extort (30), extorted (29), extorting (15), extortion (106), extortionate (53), extortionately (4), extortionist (1), extortionists (5), extortions (6), extorts (6)",255
8k,extrapolate,"extrapolate (63), extrapolated (56), extrapolates (8), extrapolating (51), extrapolation (114), extrapolations (34)",326
8k,exude,"exude (40), exuded (77), exudes (43), exuding (44)",204
8k,fad,"fad (102), faddish (7), faddy (15), fads (101)",225
8k,fairs,fairs (301),301
8k,fallacy,"fallacy (197), fallacies (33), fallacious (61), fallaciously (1)",292
8k,fallible,"fallible (96), fallibilities (3), fallibility (45), fallibly (1), infallibility (45), infallible (146), infallibly (16)",352
8k,fang,"fang (90), fangs (112)",202
8k,fasts,"fasts (32), fasted (59), fasters (0), fasting (307)",398
8k,feign,"feign (33), feigned (84), feigning (82), feigns (6)",205
8k,felon,"felon (22), felonies (11), felons (21), felony (76)",130
8k,fervour,"fervour (276), fervor (3), fervors (0), fervours (1)",280
8k,fetter,"fetter (45), fettered (42), fettering (4), fetters (37), unfetter (2), unfettered (149)",279
8k,fetus,"fetus (128), fetuses (48)",176
8k,fiancee,"fiancee (70), fiance (84), fiancees (1), fiances (0), fiancé (0), fiancée (0)",155
8k,fiasco,"fiasco (244), fiascoes (1)",245
8k,fidget,"fidget (37), fidgeted (56), fidgeting (83), fidgets (9), fidgety (34)",219
8k,figurative,"figurative (135), figuratively (46)",181
8k,fillet,"fillet (119), fillets (104)",223
8k,fir,"fir (206), firs (40)",246
8k,fiver,"fiver (510), fivers (38)",548
8k,flagging,"flagging (153), flagged (167), unflagging (20), unflaggingly (2)",342
8k,flail,"flail (52), flailed (36), flailing (132), flailings (1), flails (17)",238
8k,flamboyant,"flamboyant (268), flamboyance (37), flamboyantly (18)",323
8k,flannel,"flannel (199), flannelette (15), flannelettes (0), flannelling (0), flannels (49)",263
8k,flask,"flask (289), flasks (72)",361
8k,fleck,"fleck (87), flecked (85), flecking (7), flecks (65)",244
8k,fleece,"fleece (230), fleeces (39), fleecy (35)",304
8k,flimsy,"flimsy (273), flimsier (1), flimsiest (12), flimsily (6), flimsiness (5)",297
8k,flounder,"flounder (89), floundered (72), floundering (100), flounders (22)",283
8k,folklore,"folklore (290), folklores (0)",290
8k,foray,"foray (119), forays (137)",256
8k,forlorn,"forlorn (190), forlornly (51)",241
8k,forte,"forte (330), fortes (17)",347
8k,fraught,fraught (330),330
8k,freckle,"freckle (17), freckled (102), freckles (115), freckling (2), freckly (6)",242
8k,freshman,"freshman (30), freshers (30), freshmen (23)",83
8k,friar,"friar (411), friarage (29), friars (106), friary (38)",584
8k,frill,"frill (87), frilled (74), frills (135), frilly (94)",390
8k,frivolous,"frivolous (220), frivolously (20), frivolousness (1)",241
8k,froth,"froth (127), frothed (15), frothier (1), frothiest (1), frothiness (0), frothing (63), froths (5), frothy (94)",306
8k,gait,"gait (153), gaits (6)",159
8k,gale,"gale (484), gales (195)",679
8k,gallant,"gallant (254), gallanter (0), gallantest (0), gallantly (43), gallantries (2), gallantry (90)",389
8k,gasoline,gasoline (68),68
8k,gazette,"gazette (303), gazetted (10), gazetteer (21), gazetteers (5), gazettes (11)",350
8k,genealogy,"genealogy (87), genealogical (74), genealogically (3), genealogies (33), genealogist (19), genealogists (5), geneologies (0), geneology (0)",221
8k,genus,"genus (375), genuses (0)",375
8k,ghastly,"ghastly (400), ghastliness (2)",402
8k,gilt,"gilt (557), gilts (237)",794
8k,gimmick,"gimmick (105), gimmickry (16), gimmicks (63), gimmicky (21)",205
8k,gingerly,gingerly (209),209
8k,glacial,"glacial (344), glacially (11)",355
8k,glut,"glut (72), gluten (186), glutenfree (0), gluts (2)",260
8k,gnaw,"gnaw (38), gnawed (83), gnawing (99), gnaws (10)",230
8k,gobble,"gobble (67), gobbled (60), gobbler (2), gobblers (0), gobbles (10), gobbling (41)",180
8k,goblin,"goblin (428), goblins (375)",803
8k,goddam,"goddam (46), godammed (0), goddamming (0), goddamn (42), goddamned (25), goddamning (0)",113
8k,goggle,"goggle (34), goggles (175)",209
8k,gorilla,"gorilla (139), gorillas (77)",216
8k,gouge,"gouge (55), gouged (63), gouger (15), gougers (19), gouges (38), gouging (36)",226
8k,gourmet,"gourmet (127), gourmets (25)",152
8k,grandeur,"grandeur (341), grandeurs (3)",344
8k,grandiose,"grandiose (244), grandiosely (7), grandiosities (0), grandiosity (10)",261
8k,granule,"granule (73), granular (72), granules (291)",436
8k,graphite,"graphite (223), graphites (1)",224
8k,grime,"grime (125), grimier (3), grimiest (0), griminess (0), grimy (158)",286
8k,gruelling,"gruelling (207), grueling (1), gruelingly (0), gruellingly (1)",209
8k,gruesome,"gruesome (180), gruesomely (4), gruesomeness (2)",186
8k,gymnastics,"gymnastics (93), gymnast (19), gymnastic (27), gymnasts (16)",155
8k,halloween,"halloween (93), halloweens (0)",93
8k,hallucinate,"hallucinate (9), hallucinated (6), hallucinates (2), hallucinating (30), hallucination (51), hallucinations (104), hallucinatory (38)",240
8k,halo,"halo (165), haloes (19), halos (6)",190
8k,hamstring,"hamstring (196), hamstrings (15), hamstrung (24)",235
8k,hangar,"hangar (230), hangars (63)",293
8k,hangover,"hangover (251), hangovers (53), hungover (19)",323
8k,haphazard,"haphazard (264), haphazardly (85), haphazardness (1)",350
8k,hazel,"hazel (873), hazelnut (41), hazelnuts (33), hazels (16)",963
8k,hazy,"hazy (225), hazier (1), haziest (9), hazily (32), haziness (5)",272
8k,header,"header (744), headers (100)",844
8k,heather,"heather (1040), heathers (39)",1079
8k,helium,helium (279),279
